Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"encodings.cp850.IncrementalEncoder.encode",382,0.00,0.00,0.00,0.00,"cp850.py",
"version (module)",1,0.00,0.00,5.60,0.64,"version.py",
"sre_compile._mk_bitmap",20,0.00,0.00,0.03,0.03,"sre_compile.py",
"urllib.parse.<dictcomp>",1,0.00,0.00,0.65,0.60,"parse.py",
"version.Version.__init__",6,0.00,0.00,0.13,0.10,"version.py",
"MemoizedZipManifests.load",4,0.00,0.00,0.81,0.13,"__init__.py",
"re._compile",151,0.03,0.00,0.31,0.00,"re.py",
"zipfile._GenerateCRCTable",1,0.00,0.00,0.53,0.53,"zipfile.py",
"sre_compile._compile_charset",204,0.02,0.00,0.10,0.00,"sre_compile.py",
"datetime (module)",1,0.00,0.00,1.48,0.49,"datetime.py",
"str.rfind",846,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"specifiers (module)",1,0.01,0.00,13.03,0.44,"specifiers.py",
" (module)",1,0.00,0.00,0.43,0.42,"__init__.py",
"nt.stat",5,0.00,0.00,0.08,0.08,"nt",
"racing-game-fixed.Explosion.__init__",89,2.09,0.00,31.69,0.00,"racing-game-fixed.py",
"random.Random.randrange",185,0.00,0.00,0.00,0.00,"random.py",
"sre_parse.parse",54,0.01,0.00,0.37,0.01,"sre_parse.py",
"sre_parse.Tokenizer.match","1,750",0.00,0.00,0.00,0.00,"sre_parse.py",
"ntpath._get_sep",416,0.00,0.00,0.00,0.00,"ntpath.py",
"racing-game-fixed.PlayerCar.goRight",628,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"list.remove",295,0.00,0.00,0.00,0.00,"Unidentifiable Method",
".find_on_path",16,0.00,0.00,0.30,0.02,"__init__.py",
"racing-game-fixed.PlayerCar.goLeft",622,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"max",408,0.00,0.00,0.00,0.00,"builtins",
"ntpath.normpath",15,0.00,0.00,0.04,0.02,"ntpath.py",
"sre_compile.compile",54,0.03,0.00,0.85,0.01,"sre_compile.py",
"urllib.parse (module)",1,0.00,0.00,6.55,0.31,"parse.py",
"racing-game-fixed.PlayerCar.__init__",1,0.00,0.00,3.15,0.29,"racing-game-fixed.py",
"multiprocessing.process (module)",1,0.00,0.00,2.23,0.29,"process.py",
"sre_compile._compile_info",54,0.00,0.00,0.04,0.01,"sre_compile.py",
"sre_parse.SubPattern.__init__",594,0.00,0.00,0.00,0.00,"sre_parse.py",
"bytes.decode",120,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_compile._simple",237,0.00,0.00,0.00,0.00,"sre_compile.py",
"ntpath.splitdrive",48,0.00,0.00,0.01,0.00,"ntpath.py",
".build",1,0.00,0.00,2.29,0.22,"__init__.py",
"str.join",174,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"subprocess (module)",1,0.00,0.00,0.71,0.20,"subprocess.py",
"threading.Thread.__init__",1,0.00,0.00,0.35,0.19,"threading.py",
