Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller",".build","MemoizedZipManifests.load",1,0.00,0.00,2.29,0.22,"__init__.py",
"Callee",".build",".__new__",1,0.00,0.00,1.82,0.05,"__init__.py",
"Callee",".build",".<genexpr>",121,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".build","zipfile.ZipFile.__enter__",1,0.00,0.00,0.00,0.00,"zipfile.py",
"Callee",".build","zipfile.ZipFile.__exit__",1,0.00,0.00,0.07,0.04,"zipfile.py",
"Callee",".build","zipfile.ZipFile.namelist",1,0.00,0.00,0.02,0.02,"zipfile.py",
"Root",".ContextualVersionConflict",".ContextualVersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ContextualVersionConflict","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".ContextualZipFile",".ContextualZipFile",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ContextualZipFile","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".DefaultProvider",".DefaultProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".DefaultProvider","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".DistInfoDistribution",".DistInfoDistribution",1,0.00,0.00,0.22,0.00,"__init__.py",
"Caller",".DistInfoDistribution","__build_class__",1,0.00,0.00,0.22,0.00,"builtins",
"Callee",".DistInfoDistribution","re.compile",1,0.00,0.00,0.21,0.00,"re.py",
"Root",".Distribution",".Distribution",1,0.00,0.00,0.01,0.01,"__init__.py",
"Caller",".Distribution","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root",".DistributionNotFound",".DistributionNotFound",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".DistributionNotFound","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".EggMetadata",".EggMetadata",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".EggMetadata","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".EggProvider",".EggProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".EggProvider","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".EmptyProvider",".EmptyProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".EmptyProvider","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".EntryPoint",".EntryPoint",1,0.00,0.00,0.45,0.01,"__init__.py",
"Caller",".EntryPoint","__build_class__",1,0.00,0.00,0.45,0.01,"builtins",
"Callee",".EntryPoint","re.compile",1,0.00,0.00,0.44,0.00,"re.py",
"Root",".Environment",".Environment",1,0.00,0.00,0.16,0.03,"__init__.py",
"Caller",".Environment","__build_class__",1,0.00,0.00,0.16,0.03,"builtins",
"Callee",".Environment",".get_supported_platform",1,0.00,0.00,0.13,0.03,"__init__.py",
"Root",".ExtractionError",".ExtractionError",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ExtractionError","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".FileMetadata",".FileMetadata",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".FileMetadata","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".find_distributions",".find_distributions",14,0.00,0.00,0.02,0.01,"__init__.py",
"Caller",".find_distributions","WorkingSet.add_entry",14,0.00,0.00,0.02,0.01,"__init__.py",
"Callee",".find_distributions","._find_adapter",14,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".find_distributions",".find_nothing",2,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".find_distributions","pkgutil.get_importer",14,0.00,0.00,0.01,0.00,"pkgutil.py",
"Root",".find_eggs_in_zip",".find_eggs_in_zip",4,0.00,0.00,1.25,0.03,"__init__.py",
"Caller",".find_eggs_in_zip","WorkingSet.add_entry",4,0.00,0.00,1.25,0.03,"__init__.py",
"Callee",".find_eggs_in_zip",".from_filename",2,0.00,0.00,0.68,0.01,"__init__.py",
"Callee",".find_eggs_in_zip","EggMetadata.__init__",2,0.00,0.00,0.18,0.01,"__init__.py",
"Callee",".find_eggs_in_zip","NullProvider.has_metadata",2,0.00,0.00,1.58,0.02,"__init__.py",
"Callee",".find_eggs_in_zip","str.endswith",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root",".find_nothing",".find_nothing",2,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".find_nothing",".find_distributions",2,0.00,0.00,0.00,0.00,"__init__.py",
"Root",".find_on_path",".find_on_path",16,0.00,0.00,0.30,0.02,"__init__.py",
"Caller",".find_on_path","WorkingSet.add_entry",16,0.00,0.00,0.30,0.02,"__init__.py",
"Callee",".find_on_path","._normalize_cached",10,0.00,0.00,0.01,0.00,"__init__.py",
"Callee",".find_on_path",".from_location",6,0.00,0.00,0.06,0.01,"__init__.py",
"Callee",".find_on_path","FileMetadata.__init__",6,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".find_on_path","nt._isdir",16,0.00,0.00,0.09,0.09,"nt",
"Callee",".find_on_path","nt.access",10,0.00,0.00,0.10,0.10,"nt",
"Callee",".find_on_path","nt.listdir",10,0.00,0.00,0.13,0.13,"nt",
"Callee",".find_on_path","ntpath.join",6,0.00,0.00,0.01,0.00,"ntpath.py",
"Callee",".find_on_path","str.endswith",984,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee",".find_on_path","str.lower",500,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root",".fixup_namespace_packages",".fixup_namespace_packages",4,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".fixup_namespace_packages","Distribution.activate",4,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".fixup_namespace_packages","dict.get",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee",".fixup_namespace_packages","imp.acquire_lock",4,0.00,0.00,0.00,0.00,"imp",
"Callee",".fixup_namespace_packages","imp.release_lock",4,0.00,0.00,0.00,0.00,"imp",
"Root",".from_filename",".from_filename",2,0.00,0.00,0.68,0.01,"__init__.py",
"Caller",".from_filename",".find_eggs_in_zip",2,0.00,0.00,0.68,0.01,"__init__.py",
"Callee",".from_filename","._normalize_cached",2,0.00,0.00,0.02,0.00,"__init__.py",
"Callee",".from_filename",".from_location",2,0.00,0.00,0.63,0.05,"__init__.py",
"Callee",".from_filename","ntpath.basename",2,0.00,0.00,0.01,0.00,"ntpath.py",
"Root",".from_location",".from_location",8,0.00,0.00,0.20,0.02,"__init__.py",
"Caller",".from_location",".find_on_path",6,0.00,0.00,0.06,0.01,"__init__.py",
"Caller",".from_location",".from_filename",2,0.00,0.00,0.63,0.05,"__init__.py",
"Callee",".from_location","_sre.SRE_Match.group",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee",".from_location","_sre.SRE_Pattern.match",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee",".from_location","Distribution.__init__",8,0.00,0.00,0.17,0.01,"__init__.py",
"Callee",".from_location","ntpath.splitext",8,0.00,0.00,0.01,0.01,"ntpath.py",
"Callee",".from_location","str.lower",16,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root",".get_build_platform",".get_build_platform",1,0.00,0.00,0.10,0.09,"__init__.py",
"Caller",".get_build_platform",".get_supported_platform",1,0.00,0.00,0.10,0.09,"__init__.py",
"Callee",".get_build_platform","sysconfig.get_platform",1,0.00,0.00,0.01,0.01,"sysconfig.py",
"Root",".get_provider",".get_provider",2,0.00,0.00,0.09,0.01,"__init__.py",
"Caller",".get_provider","ResourceManager.resource_exists",1,0.00,0.00,0.11,0.03,"__init__.py",
"Caller",".get_provider","ResourceManager.resource_stream",1,0.00,0.00,0.06,0.00,"__init__.py",
"Callee",".get_provider","._find_adapter",2,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".get_provider","EggProvider.__init__",2,0.00,0.00,0.07,0.01,"__init__.py",
"Callee",".get_provider","getattr",2,0.00,0.00,0.00,0.00,"builtins",
"Callee",".get_provider","isinstance",2,0.00,0.00,0.00,0.00,"builtins",
"Root",".get_supported_platform",".get_supported_platform",1,0.00,0.00,0.13,0.03,"__init__.py",
"Caller",".get_supported_platform",".Environment",1,0.00,0.00,0.13,0.03,"__init__.py",
"Callee",".get_supported_platform",".get_build_platform",1,0.00,0.00,0.10,0.09,"__init__.py",
